transaction_id,transaction_amount,transaction_hour,distance_from_home_km,failed_auth_count_24h,is_fraud
108,112.31,22,8.15,0,0
109,16.86,9,47.5,0,0
110,27.53,12,638.94,0,0
111,36.16,8,12.68,0,0
112,31.84,9,25.95,0,0
113,92.0,11,4.04,0,0
114,7.32,13,26.23,0,0
115,21.55,13,12.16,0,0
116,43.38,16,14.0,0,0
117,15.11,16,17.61,0,0
118,15.68,18,25.4,0,0
119,114.73,17,18.32,0,0
120,118.52,5,7.18,0,0
121,47.07,20,24.0,0,0
122,41.61,11,9.54,0,0
123,37.23,14,10.29,1,0
124,55.78,19,7.75,1,0
125,22.75,22,18.22,0,0
126,21.71,7,0.61,0,0
127,14.36,12,6.37,0,0
128,59.17,20,14.45,0,0
129,31.66,17,3.85,0,0
130,5.63,15,33.56,0,0
131,48.65,9,6.84,0,0
132,44.97,13,40.08,0,0
133,14.02,7,30.13,0,0
134,17.83,13,16.74,0,0
135,16.18,10,30.57,0,0
136,39.71,6,9.82,0,0
137,42.55,11,25.71,0,0
138,13.87,5,11.6,0,0
139,15.24,19,4.61,0,0
140,69.32,19,9.26,0,0
141,26.52,4,13.76,0,0
142,96.33,21,7.03,0,0
143,38.88,21,23.47,0,0
144,26.15,21,10.82,0,0
145,24.61,15,17.71,0,0
146,46.08,16,13.74,0,0
147,61.61,18,4.88,0,0
148,62.66,4,25.27,0,0
149,32.71,18,8.86,0,0
150,10.01,15,377.96,0,0
151,37.5,15,6.19,0,0
152,19.32,17,7.4,0,0
153,58.32,18,21.96,0,0
154,44.61,12,4.13,0,0
155,1.87,13,11.14,0,0
156,23.5,12,3.97,0,0
157,131.63,14,36.7,0,0
158,54.0,19,5.89,0,0
159,66.28,22,24.5,0,0
160,13.13,21,21.36,0,0
161,9.13,11,13.49,0,0
162,65.94,11,18.44,0,0
163,29.79,16,3.27,0,0
164,12.43,9,1.19,0,0
165,43.85,15,47.89,0,0
166,34.24,13,316.99,0,0
167,44.78,15,25.95,0,0
168,80.77,15,1.01,0,0
169,22.24,14,39.07,0,0
170,24.68,12,469.94,0,0
171,32.25,21,34.77,0,0
172,14.62,20,17.78,0,0
173,12.52,5,20.11,0,0
174,98.76,23,10.63,0,0
175,16.45,6,10.49,0,0
176,35.99,15,24.17,0,0
177,33.76,14,558.93,0,0
178,46.11,13,6.13,0,0
179,144.92,13,5.17,0,0
180,30.58,9,8.3,0,0
181,78.21,5,23.42,0,0
182,45.05,8,559.96,0,0
183,4.32,23,8.35,0,0
184,28.26,10,26.51,0,0
185,59.73,21,8.42,1,0
186,17.16,14,477.64,0,0
187,38.98,11,19.41,0,0
188,78.85,12,3.84,0,0
189,20.08,8,9.95,0,0
190,25.8,8,9.92,0,0
191,146.13,18,5.22,0,0
192,284.16,7,9.79,0,0
193,48.28,15,479.93,1,0
194,47.92,7,6.11,0,0
195,22.45,17,17.83,0,0
196,17.8,8,8.04,0,0
197,46.34,11,10.38,0,0
198,13.85,8,25.09,0,0
199,58.5,14,14.59,0,0
200,60.78,8,39.59,0,0
201,30.39,19,22.32,0,0
202,38.46,18,2.47,0,0
203,50.16,13,5.54,0,0
204,13.6,19,2.46,0,0
205,8.04,19,8.29,0,0
206,15.24,11,6.74,0,0
207,51.04,22,35.01,0,0
208,93.54,10,5.29,0,0
209,18.66,23,586.58,1,0
210,29.37,17,40.93,0,0
211,9.11,20,22.51,0,0
212,35.28,15,14.65,0,0
213,14.24,22,4.86,0,0
214,69.4,12,2.56,0,0
215,10.94,16,327.23,0,0
216,40.39,19,15.28,0,0
217,89.73,20,48.63,0,0
218,26.35,22,8.85,0,0
219,14.85,6,29.56,0,0
220,35.66,23,15.86,0,0
221,22.71,5,9.76,1,0
222,13.49,10,22.87,0,0
223,30.64,14,2.88,0,0
224,93.28,18,14.46,0,0
225,40.34,17,1190.65,0,0
226,69.11,3,9.68,0,0
227,16.16,1,9.59,0,0
228,15.2,13,38.6,0,0
229,59.87,17,27.31,0,0
230,37.56,14,142.25,0,0
231,59.67,17,5.3,0,0
232,30.95,14,10.51,0,0
233,20.22,14,9.85,0,0
234,100.25,16,2.49,0,0
235,81.75,15,1.03,0,0
236,7.53,14,5.05,0,0
237,45.7,11,11.49,1,0
238,51.15,17,4.74,0,0
239,31.74,21,5.79,0,0
240,15.75,11,47.61,0,0
241,17.08,16,23.39,0,0
242,24.37,11,11.22,0,0
243,61.59,16,19.9,0,0
244,36.04,14,35.14,0,0
245,20.59,14,12.33,0,0
246,124.58,18,17.64,0,0
247,22.18,12,10.7,0,0
248,45.48,16,10.68,0,0
249,36.55,19,2.41,0,0
250,11.17,17,5.15,0,0
251,15.92,9,19.44,0,0
252,9.79,18,9.03,0,0
253,57.76,17,1.29,0,0
254,24.13,4,4.21,0,0
255,58.4,17,5.94,0,0
256,29.12,9,22.1,0,0
257,47.71,5,3.56,0,0
258,152.9,3,954.92,0,1
259,9.21,5,3.55,0,0
260,9.79,22,14.76,0,0
261,37.13,15,17.01,0,0
262,17.21,10,2.09,0,0
263,26.85,17,50.94,0,0
264,47.47,19,9.02,0,0
265,49.94,16,8.21,0,0
266,20.92,15,30.29,1,0
267,39.9,6,0.64,0,0
268,9.2,21,5.99,0,0
269,45.84,7,2.11,0,0
270,29.22,6,3.55,0,0
271,24.49,23,61.85,1,0
272,60.09,4,2.59,0,0
273,32.4,8,9.31,0,0
274,42.16,20,24.14,0,0
275,9.56,4,27.42,0,0
276,22.96,15,11.31,0,0
277,32.32,1,7.46,0,0
278,37.51,3,396.55,0,0
279,10.6,6,8.53,0,0
280,112.38,20,3.26,0,0
281,20.44,10,2.91,0,0
282,18.43,15,8.05,0,0
283,20.64,17,42.07,0,0
284,146.62,15,14.01,0,0
285,23.62,17,21.14,0,0
286,27.33,16,21.82,0,0
287,37.21,6,18.63,0,0
288,8.08,23,16.85,0,0
289,27.31,7,7.02,0,0
290,57.93,15,12.52,0,0
291,19.68,17,23.55,0,0
292,27.02,14,29.77,0,0
293,34.26,19,383.0,0,0
294,6.83,23,2.74,0,0
295,76.4,9,11.55,1,0
296,45.01,14,13.05,0,0
297,4.79,15,18.37,0,0
298,20.65,2,19.91,0,0
299,21.63,2,6.21,0,0
300,12.45,11,5.03,0,0
301,59.12,16,54.78,0,0
302,32.86,9,17.83,1,0
303,101.34,16,2.82,0,0
304,15.51,21,9.59,0,0
305,14.17,8,3.15,0,0
306,41.25,10,21.64,0,0
307,45.87,16,7.2,0,0
308,54.81,23,780.59,0,0
309,15.2,14,26.91,0,0
310,25.32,23,5.94,1,0
311,16.97,8,12.16,0,0
312,37.74,16,7.46,1,0
313,109.68,10,22.16,0,0
314,33.59,2,10.04,0,0
315,31.11,11,24.18,0,0
316,37.29,15,14.3,0,0
317,57.37,9,24.84,0,0
318,16.93,16,4.82,0,0
319,21.98,22,6.9,0,0
320,38.0,17,12.84,0,0
321,43.0,18,9.43,0,0
322,19.22,9,16.42,0,0
323,22.41,12,18.29,0,0
324,97.25,4,8.87,0,0
325,115.67,12,3.46,0,0
326,15.26,14,10.28,0,0
327,65.73,21,13.3,0,0
328,13.98,11,27.83,0,0
329,72.13,12,1789.13,0,0
330,24.51,10,31.12,0,0
331,11.81,12,16.94,0,0
332,12.68,10,5.59,0,0
333,26.91,18,21.79,0,0
334,25.74,10,13.73,0,0
335,58.88,8,13.99,0,0
336,21.32,11,10.24,0,0
337,25.95,8,28.77,0,0
338,86.92,15,30.17,0,0
339,40.07,12,25.08,0,0
340,13.72,16,3.66,0,0
341,27.05,6,22.31,0,0
342,40.57,10,1.42,0,0
343,67.35,18,8.0,0,0
344,44.81,15,10.32,1,0
345,32.13,16,12.04,0,0
346,10.52,11,1.26,0,0
347,76.79,17,4.03,2,0
348,16.55,22,7.36,1,0
349,39.31,10,4.31,0,0
350,31.26,15,735.33,1,0
351,8.24,20,2.23,0,0
352,19.98,12,18.48,0,0
353,6.44,14,3.18,0,0
354,53.45,11,7.22,0,0
355,8.11,15,22.86,1,0
356,55.05,9,1563.12,0,0
357,101.98,20,9.75,0,0
358,10.81,14,23.78,0,0
359,53.9,18,11.87,0,0
360,16.74,10,17.21,0,0
361,16.97,11,10.28,0,0
362,35.29,12,27.88,0,0
363,8.32,7,4.43,0,0
364,23.24,20,29.16,0,0
365,36.0,13,10.25,0,0
366,36.04,10,5.03,0,0
367,57.13,13,45.28,0,0
368,17.62,15,10.44,0,0
369,48.87,14,8.98,0,0
370,39.07,9,13.1,0,0
371,50.62,7,9.66,0,0
372,32.25,17,1603.02,0,0
373,22.27,15,7.22,0,0
374,30.42,12,38.54,0,0
375,25.92,19,2.39,0,0
376,40.49,14,17.22,0,0
377,7.69,7,4.13,0,0
378,36.05,18,26.04,0,0
379,35.49,21,3.58,0,0
380,66.49,14,8.9,0,0
381,18.44,12,7.47,0,0
382,14.56,5,4.74,0,0
383,40.01,15,17.39,0,0
384,9.38,19,10.57,0,0
385,24.86,17,14.68,0,0
386,26.62,6,16.36,0,0
387,20.63,21,6.41,0,0
388,50.0,15,0.58,0,0
389,54.94,13,29.75,0,0
390,12.28,17,28.99,0,0
391,36.1,20,9.58,0,0
392,40.27,10,9.74,0,0
393,30.59,11,21.99,0,0
394,30.57,18,23.8,0,0
395,37.03,12,16.51,0,0
396,41.0,22,22.46,0,0
397,107.66,22,11.89,0,0
398,49.98,9,17.49,0,0
399,30.71,17,3.26,0,0
400,22.61,15,18.67,0,0
401,173.14,16,13.2,0,0
402,78.6,13,16.31,0,0
403,9.17,7,13.86,0,0
404,33.15,10,15.27,0,0
405,14.21,8,7.38,0,0
406,13.95,13,1198.32,0,0
407,36.19,23,25.19,0,0
408,20.24,16,2.7,0,0
409,53.62,14,16.68,0,0
410,52.43,22,9.02,0,0
411,22.07,22,24.29,0,0
412,37.63,12,8.17,0,0
413,16.67,18,1.86,0,0
414,13.12,21,19.86,0,0
415,76.1,8,20.81,0,0
416,8.16,20,2.1,0,0
417,88.69,12,27.01,0,0
418,131.21,17,8.77,0,0
419,27.66,3,4.82,0,0
420,35.87,15,29.04,0,0
421,44.98,5,17.15,0,0
422,33.95,12,6.3,0,0
423,15.35,10,19.7,0,0
424,56.63,9,23.96,0,0
425,29.44,8,22.46,0,0
426,4.76,19,11.07,0,0
427,23.1,21,3.32,0,0
428,36.56,16,3.24,1,0
429,94.7,15,12.8,0,0
430,37.17,13,10.38,0,0
431,43.41,7,12.03,0,0
432,50.2,22,21.21,0,0
433,8.04,14,2.29,0,0
434,37.48,13,36.76,0,0
435,30.65,23,28.71,0,0
436,47.46,15,4.96,0,0
437,34.05,17,20.0,0,0
438,77.63,14,7.62,1,0
439,13.04,17,3.75,0,0
440,15.87,23,25.31,0,0
441,40.39,11,4.72,0,0
442,57.16,11,23.31,0,0
443,37.7,17,37.95,0,0
444,51.67,17,4.66,0,0
445,66.24,11,29.17,0,0
446,34.2,20,12.31,0,0
447,28.88,18,4.49,0,0
448,82.78,15,15.05,0,0
449,6.7,16,1.86,0,0
450,15.71,14,49.46,0,0
451,8.9,15,8.02,1,0
452,32.85,9,7.69,0,0
453,19.66,9,32.22,0,0
454,12.77,19,68.22,0,0
455,72.26,9,543.2,0,0
456,25.46,5,9.96,0,0
457,64.13,8,3.95,0,0
458,14.37,15,8.5,0,0
459,16.83,12,27.13,0,0
460,74.61,23,21.38,0,0
461,16.19,19,35.75,0,0
462,21.76,6,6.6,0,0
463,16.46,15,11.42,0,0
464,14.67,12,16.44,1,0
465,19.93,15,28.97,0,0
466,37.54,14,17.94,0,0
467,10.04,5,5.79,0,0
468,27.19,20,19.73,1,0
469,75.54,12,32.39,0,0
470,121.73,18,9.19,0,0
471,50.19,7,510.68,0,0
472,26.12,18,1.79,0,0
473,26.64,17,6.3,0,0
474,33.6,8,12.69,0,0
475,21.3,6,33.11,0,0
476,20.39,21,23.49,0,0
477,63.33,18,13.68,0,0
478,83.49,16,12.86,1,0
479,33.78,12,3.05,0,0
480,61.22,20,12.22,0,0
481,10.71,8,1.72,0,0
482,152.21,10,3.17,0,0
483,69.94,11,0.98,0,0
484,22.18,23,6.26,0,0
485,16.76,22,6.95,0,0
486,17.17,21,11.03,0,0
487,49.19,22,7.04,0,0
488,30.12,16,8.35,0,0
489,38.72,17,2.65,0,0
490,35.94,14,19.15,0,0
491,34.8,6,18.45,0,0
492,36.04,11,18.22,0,0
493,26.82,18,1.03,0,0
494,31.85,12,5.2,1,0
495,27.28,16,13.57,0,0
496,57.97,8,17.16,0,0
497,137.55,18,35.29,0,0
498,24.44,11,13.36,0,0
499,180.48,8,41.21,0,0
500,29.75,18,15.97,1,0
501,21.24,23,6.61,0,0
502,75.5,14,1057.92,0,0
503,16.77,20,8.24,0,0
504,70.4,18,18.64,0,0
505,37.2,12,19.74,0,0
506,121.01,17,29.37,0,0
507,89.46,14,20.22,0,0
508,113.83,14,1.64,0,0
509,62.83,19,18.79,0,0
510,16.13,7,14.66,0,0
511,10.84,9,39.97,0,0
512,14.51,13,3.9,0,0
513,29.6,11,8.99,0,0
514,93.36,9,3.75,0,0
515,79.09,21,38.54,0,0
516,34.17,12,16.36,0,0
517,21.21,10,1.73,0,0
518,8.85,21,31.7,0,0
519,21.93,0,18.51,0,0
520,47.68,10,24.79,0,0
521,21.1,13,5.83,0,0
522,56.02,13,20.49,0,0
523,45.11,22,2.66,0,0
524,31.34,21,7.11,0,0
525,29.68,15,18.52,0,0
526,58.92,18,32.94,0,0
527,40.09,10,9.16,0,0
528,67.12,15,512.07,0,0
529,17.39,10,6.84,0,0
530,24.24,8,25.27,0,0
531,26.72,10,25.04,0,0
532,16.99,18,16.7,0,0
533,40.35,14,5.04,0,0
534,63.75,19,6.82,0,0
535,23.57,23,1.49,0,0
536,24.32,11,27.61,0,0
537,15.07,21,40.33,0,0
538,23.96,21,11.06,0,0
539,45.21,18,10.53,0,0
540,24.29,3,20.7,0,0
541,24.68,14,8.52,0,0
542,59.9,18,16.22,0,0
543,33.38,6,29.02,0,0
544,21.01,13,23.52,0,0
545,15.61,10,5.05,0,0
546,27.93,3,12.75,0,0
547,16.86,17,25.58,0,0
548,13.2,12,18.1,0,0
549,20.71,4,36.4,0,0
550,9.26,17,3.94,1,0
551,38.68,17,18.86,0,0
552,16.11,8,6.91,0,0
553,46.08,23,18.19,0,0
554,260.89,23,6.5,0,0
555,64.84,15,948.49,0,0
556,20.51,21,22.92,0,0
557,34.15,8,2.12,0,0
558,44.16,11,12.5,0,0
559,11.92,11,10.87,0,0
560,24.72,21,5.06,0,0
561,56.72,6,9.48,0,0
562,15.63,19,8.74,0,0
563,24.08,10,14.41,0,0
564,30.13,16,15.21,0,0
565,32.56,21,3.72,0,0
566,15.25,14,11.25,0,0
567,33.94,7,22.04,0,0
568,53.24,13,2.21,0,0
569,48.49,20,3.87,0,0
570,68.94,14,11.68,0,0
571,12.6,23,5.71,0,0
572,326.68,6,303.01,0,0
573,19.4,11,5.36,0,0
574,45.32,13,18.49,0,0
575,5.75,9,5.29,0,0
576,20.91,12,5.63,0,0
577,74.84,21,3.86,0,0
578,106.18,14,1.66,1,0
579,13.02,23,4.55,0,0
580,32.32,0,10.66,0,0
581,64.71,18,1.75,0,0
582,17.71,20,5.38,1,0
583,22.04,11,6.81,0,0
584,5.26,18,40.74,0,0
585,142.68,9,15.44,0,0
586,37.4,13,30.63,0,0
587,17.18,9,0.78,0,0
588,62.47,8,21.95,0,0
589,58.04,21,19.0,1,0
590,15.66,8,23.81,0,0
591,16.85,17,26.67,0,0
592,45.78,10,11.35,0,0
593,16.88,13,16.6,0,0
594,85.83,17,1930.72,0,0
595,11.22,14,13.45,1,0
596,53.26,15,1.93,0,0
597,97.05,10,1.81,0,0
598,50.54,6,8.6,0,0
599,4.44,11,10.69,0,0
600,23.47,23,16.39,0,0
601,20.0,12,15.43,0,0
602,13.17,13,22.0,1,0
603,43.93,10,0.68,0,0
604,51.17,9,17.15,0,0
605,11.24,9,4.93,0,0
606,18.74,6,41.99,0,0
607,32.82,11,7.79,0,0
608,128.75,11,4.92,0,0
609,35.9,7,5.16,1,0
610,13.97,13,17.8,0,0
611,51.39,9,7.3,0,0
612,41.75,11,20.59,0,0
613,88.64,14,21.76,0,0
614,20.72,16,34.44,0,0
615,164.87,7,46.45,0,0
616,171.78,14,10.84,0,0
617,149.75,15,1.1,0,0
618,66.39,10,7.97,0,0
619,23.31,16,4.22,0,0
620,32.87,9,31.05,0,0
621,25.96,14,7.51,0,0
622,60.53,22,28.63,0,0
623,49.14,11,8.5,0,0
624,30.16,17,14.11,0,0
625,20.96,13,5.98,0,0
626,24.91,11,6.2,0,0
627,37.66,8,30.2,0,0
628,42.0,13,13.55,1,0
629,21.67,11,1.66,0,0
630,47.94,20,9.43,0,0
631,33.33,16,17.35,1,0
632,40.93,11,1.52,0,0
633,39.5,6,8.31,1,0
634,31.05,8,38.59,0,0
635,29.14,5,5.72,0,0
636,84.57,9,10.96,0,0
637,18.49,5,14.22,0,0
638,21.95,19,12.72,0,0
639,100.6,23,13.14,0,0
640,34.16,6,4.95,0,0
641,34.63,15,23.65,0,0
642,76.11,23,30.13,0,0
643,18.81,23,33.07,0,0
644,32.64,8,32.55,1,0
645,33.1,6,14.49,0,0
646,61.05,7,5.96,0,0
647,40.63,12,705.54,0,0
648,27.17,16,7.16,0,0
649,11.23,14,12.53,0,0
650,14.72,12,15.72,0,0
651,24.39,12,6.75,0,0
652,12.59,18,9.84,0,0
653,12.97,15,7.79,0,0
654,10.59,20,6.22,0,0
655,5.29,17,36.21,0,0
656,25.71,19,12.12,1,0
657,28.92,17,57.43,0,0
658,33.25,12,1.22,0,0
659,42.58,18,0.57,0,0
660,44.02,23,9.24,0,0
661,34.37,15,31.59,0,0
662,17.81,21,21.16,1,0
663,17.91,12,14.94,0,0
664,27.49,17,10.77,0,0
665,130.33,19,9.75,0,0
666,30.3,5,17.72,0,0
667,20.47,6,5.91,0,0
668,53.3,12,13.79,0,0
669,11.23,15,7.43,0,0
670,61.08,8,14.28,0,0
671,69.93,4,18.52,0,0
672,83.05,11,30.22,0,0
673,22.33,8,4.2,1,0
674,46.12,15,6.71,0,0
675,17.99,18,8.68,0,0
676,61.95,19,3.39,0,0
677,34.83,2,23.55,0,0
678,25.89,18,4.16,0,0
679,43.72,18,20.48,0,0
680,3.61,17,23.34,1,0
681,34.39,15,14.66,0,0
682,37.44,16,1.41,0,0
683,40.81,14,37.36,0,0
684,11.69,16,29.59,0,0
685,49.92,5,12.58,0,0
686,7.62,8,11.91,0,0
687,81.66,17,19.14,0,0
688,30.9,17,14.96,0,0
689,37.56,14,9.5,0,0
690,12.21,15,30.31,0,0
691,25.0,18,16.42,0,0
692,14.11,17,30.6,0,0
693,86.07,13,2.44,0,0
694,20.28,12,30.52,0,0
695,37.83,17,17.51,0,0
696,108.13,18,1335.17,0,0
697,21.95,18,33.6,0,0
698,101.9,17,77.89,0,0
699,66.8,17,3.31,0,0
700,27.54,11,6.82,0,0
701,14.85,19,23.65,0,0
702,19.04,6,11.85,0,0
703,7.12,8,27.31,0,0
704,12.11,7,1.78,0,0
705,19.66,10,1.9,0,0
706,36.19,10,17.16,0,0
707,41.06,17,1.0,0,0
708,35.68,17,20.99,0,0
709,23.86,10,3.34,0,0
710,12.52,20,16.87,0,0
711,74.5,17,9.02,0,0
712,14.89,8,9.11,0,0
713,30.56,23,41.06,0,0
714,34.23,5,24.88,0,0
715,39.23,16,24.25,0,0
716,52.32,8,616.41,0,0
717,40.96,11,30.83,0,0
718,20.45,20,5.69,1,0
719,51.39,12,16.69,0,0
720,33.93,18,6.55,0,0
721,6.34,17,22.43,0,0
722,77.25,11,9.24,0,0
723,134.91,16,0.66,0,0
724,35.65,12,23.02,0,0
725,50.17,18,49.86,0,0
726,44.35,12,21.85,0,0
727,27.27,11,15.33,0,0
728,37.18,4,13.19,1,0
729,15.11,23,8.35,0,0
730,22.39,15,5.92,0,0
731,32.32,12,18.92,0,0
732,28.47,14,20.77,0,0
733,36.56,10,15.4,0,0
734,36.44,12,20.88,0,0
735,56.2,17,19.59,0,0
736,31.21,15,0.81,0,0
737,13.13,16,395.28,1,0
738,54.28,17,644.72,0,0
739,38.23,11,20.03,0,0
740,35.48,19,33.44,0,0
741,21.31,17,10.2,0,0
742,20.74,11,9.56,0,0
743,39.07,9,8.21,0,0
744,22.69,14,15.72,0,0
745,33.09,16,8.42,0,0
746,34.16,15,0.05,0,0
747,21.99,15,7.79,0,0
748,43.15,9,14.58,0,0
749,34.69,6,15.7,0,0
750,7.47,16,47.32,0,0
751,168.34,9,37.9,0,0
752,15.72,16,23.38,0,0
753,56.24,15,16.02,0,0
754,76.47,10,5.76,0,0
755,28.34,14,4.29,0,0
756,43.85,8,38.45,0,0
757,25.32,10,12.27,0,0
758,15.64,11,5.8,0,0
759,7.44,17,455.59,0,0
760,48.87,10,3.47,0,0
761,11.53,13,2.35,0,0
762,19.44,9,8.62,0,0
763,10.8,12,19.7,0,0
764,47.19,9,9.41,0,0
765,8.45,9,7.79,0,0
766,14.7,14,732.68,0,0
767,8.47,12,8.17,0,0
768,7.94,7,17.77,0,0
769,54.38,10,5.77,0,0
770,57.23,12,6.41,1,0
771,41.64,15,16.04,0,0
772,169.0,1,7.41,5,1
773,30.47,20,24.39,0,0
774,88.88,9,27.85,0,0
775,37.84,0,5.49,0,0
776,11.2,10,23.45,0,0
777,6.72,13,8.72,0,0
778,15.58,7,25.57,0,0
779,47.5,20,5.53,0,0
780,54.3,5,5.2,0,0
781,39.92,17,8.8,0,0
782,34.9,17,17.59,0,0
783,40.61,10,2.15,1,0
784,123.36,14,18.98,0,0
785,18.57,11,11.73,0,0
786,24.38,8,9.89,0,0
787,13.92,16,40.38,0,0
788,18.26,15,6.03,0,0
789,39.54,7,13.2,0,0
790,51.44,16,36.46,0,0
791,80.61,18,3.53,0,0
792,24.41,21,7.06,0,0
793,30.4,11,12.79,0,0
794,57.39,14,2.9,0,0
795,7.03,14,4.82,0,0
796,27.0,17,9.49,0,0
797,17.87,18,24.67,0,0
798,17.94,18,12.52,0,0
799,17.06,21,43.71,0,0
800,28.8,13,24.77,0,0
801,93.33,20,1.59,0,0
802,8.53,13,15.9,1,0
803,172.8,3,8.78,0,0
804,24.43,7,5.7,0,0
805,94.3,10,11.95,0,0
806,92.18,9,10.36,0,0
807,99.24,5,17.04,0,0
808,26.7,10,18.37,0,0
809,74.06,0,7.72,0,0
810,83.37,22,17.94,0,0
811,34.1,13,5.33,0,0
812,72.37,9,8.94,0,0
813,103.34,13,9.07,0,0
814,10.37,17,7.93,0,0
815,117.92,5,367.07,3,1
816,111.24,16,46.81,0,0
817,87.51,21,12.87,0,0
818,35.37,12,43.3,0,0
819,34.44,23,15.35,0,0
820,56.27,14,18.41,0,0
821,27.85,11,5.85,0,0
822,17.03,18,9.03,0,0
823,36.11,23,14.62,0,0
824,11.66,8,10.34,0,0
825,29.83,1,14.7,0,0
826,88.87,23,13.5,0,0
827,35.03,8,19.53,0,0
828,46.88,9,13.02,0,0
829,196.89,16,44.49,0,0
830,49.29,13,11.08,0,0
831,16.06,6,293.53,0,0
832,54.54,18,6.42,0,0
833,25.78,16,648.48,0,0
834,41.42,9,4.42,0,0
835,43.29,20,29.39,0,0
836,85.36,22,16.55,0,0
837,76.37,14,4.81,0,0
838,56.15,23,16.26,0,0
839,37.48,15,5.72,0,0
840,11.97,17,26.85,0,0
841,12.41,19,20.75,0,0
842,45.29,20,445.18,0,0
843,151.64,20,2.52,0,0
844,27.38,12,23.42,0,0
845,17.58,17,30.89,0,0
846,49.14,9,3.95,0,0
847,81.28,11,10.69,0,0
848,19.89,2,9.35,0,0
849,61.44,14,27.8,0,0
850,14.45,22,16.34,0,0
851,29.2,21,32.83,0,0
852,18.54,20,4.72,0,0
853,24.35,5,30.76,0,0
854,14.62,17,11.51,0,0
855,44.63,16,34.37,0,0
856,41.67,19,6.37,0,0
857,25.65,6,0.74,0,0
858,27.07,15,15.96,0,0
859,113.96,18,4.45,0,0
860,41.28,12,23.71,0,0
861,23.57,14,3.08,0,0
862,12.63,13,1.64,0,0
863,5.32,5,21.21,0,0
864,24.76,12,6.34,0,0
865,42.81,18,37.51,0,0
866,17.64,21,6.4,0,0
867,17.53,18,43.46,0,0
868,34.3,18,21.36,0,0
